"","FIPS","City","Year","Population","Primary.Point","Date"
"1",1985890,"Williamson","July 01 1994",168,"",1994-07-01
"2",1958060,"Oakland","July 01 2009",1381,"",2009-07-01
"3",1959645,"Orleans","July 01 2011",613,"",2011-07-01
"4",1959645,"Orleans","July 01 2012",613,"",2012-07-01
"5",1958060,"Oakland","July 01 2014",1508,"",2014-07-01
"6",1959645,"Orleans","July 01 2016",606,"",2016-07-01
"7",1959645,"Orleans","July 01 2017",594,"",2017-07-01
"8",1959645,"Orleans","July 01 1996",561,"",1996-07-01
"9",1959645,"Orleans","July 01 2019",587,"",2019-07-01
"10",1944535,"Leon","July 01 2008",1828,"POINT (-93.7545236 40.7407471)",2008-07-01
"11",1919630,"Delaware","July 01 1996",194,"POINT (-91.339042 42.4712845)",1996-07-01
"12",1979410,"Udell","July 01 1992",79,"POINT (-92.7426983 40.7801811)",1992-07-01
"13",1912270,"Center Point","July 01 2017",2553,"POINT (-91.7794373 42.1843009)",2017-07-01
"14",1904915,"Baxter","July 01 1994",952,"POINT (-93.1524552 41.8252003)",1994-07-01
"15",1942465,"Lake City","July 01 2009",1579,"POINT (-94.7310464 42.2676372)",2009-07-01
"16",1902260,"Anita","July 01 2012",954,"POINT (-94.7658827 41.4437451)",2012-07-01
"17",1941070,"Keswick","July 01 2014",240,"POINT (-92.2382166 41.4546646)",2014-07-01
"18",1964650,"Primghar","July 01 2003",851,"POINT (-95.6209034 43.0863786)",2003-07-01
"19",1982695,"Waukee","July 01 2019",24089,"POINT (-93.8702236 41.6001509)",2019-07-01
"20",1986385,"Winfield","April 01 2010",1134,"POINT (-91.4380958 41.125855)",2010-04-01
"21",1980400,"Van Horne","July 01 2009",728,"POINT (-92.0894145 42.009549)",2009-07-01
"22",1964065,"Pomeroy","July 01 2006",635,"POINT (-94.6778218 42.5519497)",2006-07-01
"23",1907075,"Blue Grass","July 01 1997",1229,"POINT (-90.7648763 41.5095767)",1997-07-01
"24",1900730,"Ainsworth","April 01 1990",506,"POINT (-91.5545142 41.2900827)",1990-04-01
"25",1912000,"Cedar Rapids","July 01 2007",126132,"POINT (-91.6781641 41.966733)",2007-07-01
