"FIPS_PL","Area Name","county","latitude","longitude"
1900595,"Afton","Union County",41.02,-94.19
1900640,"Agency","Wapello County",40.99,-92.3
1900730,"Ainsworth","Washington County",41.29,-91.55
1900865,"Albert City","Buena Vista County",42.78,-94.94
1900910,"Albia","Monroe County",41.02,-92.8
1900955,"Albion","Marshall County",42.11,-92.98
1901270,"Allerton","Wayne County",40.7,-93.36
1901630,"Altoona","Polk County",41.65,-93.47
1902260,"Anita","Cass County",41.44,-94.76
1903475,"Atkins","Benton County",41.99,-91.85
1903655,"Audubon","Audubon County",41.71,-94.92
1904420,"Bancroft","Kossuth County",43.29,-94.21
1904825,"Batavia","Jefferson County",40.99,-92.16
1904870,"Battle Creek","Ida County",42.31,-95.59
1904960,"Bayard","Guthrie County",41.85,-94.55
1905365,"Bedford","Taylor County",40.67,-94.72
1907030,"Bloomfield","Davis County",40.74,-92.41
1909280,"Buffalo Center","Winnebago County",43.38,-93.94
1910045,"Calmar","Winneshiek County",43.17,-91.86
1912270,"Center Point","Linn County",42.18,-91.77
1912720,"Chariton","Lucas County",41.01,-93.3
1913080,"Cherokee","Cherokee County",42.75,-95.55
1913530,"Clarence","Cedar County",41.88,-91.05
1913575,"Clarinda","Page County",40.73,-95.03
1915240,"Colo","Story County",42.01,-93.31
1915420,"Columbus Junction","Louisa County",41.27,-91.36
1916500,"Corning","Adams County",40.99,-94.73
1916545,"Correctionville","Woodbury County",42.47,-95.78
1919945,"Denison","Crawford County",42.01,-95.34
1921810,"Donnellson","Lee County",40.64,-91.56
1922620,"Dumont","Butler County",42.75,-92.97
1923250,"Eagle Grove","Wright County",42.66,-93.9
1924645,"Elgin","Fayette County",42.95,-91.63
1924780,"Elk Horn","Shelby County",41.59,-95.06
1925095,"Elma","Howard County",43.24,-92.44
1925725,"Epworth","Dubuque County",42.44,-90.93
1925860,"Estherville","Emmet County",43.39,-94.83
1926175,"Everly","Clay County",43.16,-95.32
1926895,"Farmington","Van Buren County",40.63,-91.73
1928290,"Fontanelle","Adair County",41.29,-94.56
1929280,"Fruitland","Muscatine County",41.34,-91.12
1929910,"Garnavillo","Clayton County",42.86,-91.23
1930225,"George","Lyon County",43.34,-96
1930675,"Gilbertville","Black Hawk County",42.42,-92.21
1931395,"Glidden","Carroll County",42.05,-94.72
1931710,"Gowrie","Webster County",42.27,-94.28
1931800,"Graettinger","Palo Alto County",43.23,-94.75
1932025,"Grand Mound","Clinton County",41.82,-90.64
1933780,"Hamburg","Fremont County",40.6,-95.65
1934680,"Hartford","Warren County",41.45,-93.4
1934725,"Hartley","O'Brien County",43.17,-95.47
1936345,"Hills","Johnson County",41.57,-91.53
1937155,"Hopkinton","Delaware County",42.34,-91.24
1937290,"Hospers","Sioux County",43.07,-95.9
1937560,"Humboldt","Humboldt County",42.72,-94.22
1939450,"Jefferson","Greene County",42.01,-94.37
1940260,"Kanawha","Hancock County",42.93,-93.79
1942600,"Lake Park","Dickinson County",43.44,-95.32
1942960,"Lamoni","Decatur County",40.62,-93.93
1944085,"Le Claire","Scott County",41.59,-90.36
1944400,"Le Mars","Plymouth County",42.78,-96.16
1948450,"Madrid","Boone County",41.87,-93.81
1949170,"Mapleton","Monona County",42.16,-95.79
1950790,"Mediapolis","Des Moines County",41,-91.16
1952860,"Missouri Valley","Harrison County",41.55,-95.89
1953355,"Monroe","Jasper County",41.52,-93.1
1953490,"Montezuma","Poweshiek County",41.58,-92.52
1954390,"Moulton","Appanoose County",40.68,-92.67
1954480,"Mount Ayr","Ringgold County",40.71,-94.23
1955065,"Murray","Clarke County",41.04,-93.94
1955335,"Nashua","Chickasaw County",42.95,-92.53
1956910,"Nora Springs","Floyd County",43.14,-93
1957630,"Northwood","Worth County",43.44,-93.21
1958980,"Olin","Jones County",41.99,-91.14
1960825,"Pacific Junction","Mills County",41.01,-95.79
1963750,"Pleasantville","Marion County",41.38,-93.26
1963975,"Pocahontas","Pocahontas County",42.73,-94.66
1964065,"Pomeroy","Calhoun County",42.55,-94.67
1965235,"Quasqueton","Buchanan County",42.39,-91.75
1965370,"Radcliffe","Hardin County",42.31,-93.43
1969510,"Sabula","Jackson County",42.06,-90.17
1969645,"Sac City","Sac County",42.42,-94.99
1969735,"St. Ansgar","Mitchell County",43.37,-92.91
1969915,"St. Charles","Madison County",41.28,-93.8
1972210,"Sheffield","Franklin County",42.89,-93.21
1972975,"Sibley","Osceola County",43.4,-95.74
1978735,"Traer","Tama County",42.19,-92.46
1979815,"University Park","Mahaska County",41.29,-92.61
1980580,"Ventura","Cerro Gordo County",43.12,-93.45
1980985,"Villisca","Montgomery County",40.93,-94.97
1982740,"Waukon","Allamakee County",43.26,-91.47
1982875,"Waverly","Bremer County",42.72,-92.46
1983145,"Webster City","Hamilton County",42.46,-93.81
1983325,"Wellsburg","Grundy County",42.43,-92.92
1984900,"What Cheer","Keokuk County",41.4,-92.35
1985845,"Williamsburg","Iowa County",41.66,-92
1986385,"Winfield","Henry County",41.12,-91.43
1986970,"Woodward","Dallas County",41.85,-93.92
1955560,"Neola","Pottawattamie County",41.45,-95.61
1958080,"Oakland","Pottawattamie County",41.3,-95.39
